Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,16 Mar 2014,Nico  Rosberg  ROS,Mercedes,57,1:32:58.710,
,Malaysia,30 Mar 2014,Lewis  Hamilton  HAM,Mercedes,56,1:40:25.974,
,Bahrain,06 Apr 2014,Lewis  Hamilton  HAM,Mercedes,57,1:39:42.743,
,China,20 Apr 2014,Lewis  Hamilton  HAM,Mercedes,54,1:33:28.338,
,Spain,11 May 2014,Lewis  Hamilton  HAM,Mercedes,66,1:41:05.155,
,Monaco,25 May 2014,Nico  Rosberg  ROS,Mercedes,78,1:49:27.661,
,Canada,08 Jun 2014,Daniel  Ricciardo  RIC,Red Bull Racing Renault,70,1:39:12.830,
,Austria,22 Jun 2014,Nico  Rosberg  ROS,Mercedes,71,1:27:54.976,
,Great Britain,06 Jul 2014,Lewis  Hamilton  HAM,Mercedes,52,2:26:52.094,
,Germany,20 Jul 2014,Nico  Rosberg  ROS,Mercedes,67,1:33:42.914,
,Hungary,27 Jul 2014,Daniel  Ricciardo  RIC,Red Bull Racing Renault,70,1:53:05.058,
,Belgium,24 Aug 2014,Daniel  Ricciardo  RIC,Red Bull Racing Renault,44,1:24:36.556,
,Italy,07 Sep 2014,Lewis  Hamilton  HAM,Mercedes,53,1:19:10.236,
,Singapore,21 Sep 2014,Lewis  Hamilton  HAM,Mercedes,60,2:00:04.795,
,Japan,05 Oct 2014,Lewis  Hamilton  HAM,Mercedes,44,1:51:43.021,
,Russia,21 Oct 2014,Lewis  Hamilton  HAM,Mercedes,53,1:31:50.744,
,United States,02 Nov 2014,Lewis  Hamilton  HAM,Mercedes,56,1:40:04.785,
,Brazil,09 Nov 2014,Nico  Rosberg  ROS,Mercedes,71,1:30:02.555,
,Abu Dhabi,23 Nov 2014,Lewis  Hamilton  HAM,Mercedes,55,1:39:02.619,
