Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Austria,05 Jul 2020,Valtteri  Bottas  BOT,Mercedes,71,1:30:55.739,
,Styria,12 Jul 2020,Lewis  Hamilton  HAM,Mercedes,71,1:22:50.683,
,Hungary,19 Jul 2020,Lewis  Hamilton  HAM,Mercedes,70,1:36:12.473,
,Great Britain,02 Aug 2020,Lewis  Hamilton  HAM,Mercedes,52,1:28:01.283,
,70th Anniversary,09 Aug 2020,Max  Verstappen  VER,Red Bull Racing Honda,52,1:19:41.993,
,Spain,16 Aug 2020,Lewis  Hamilton  HAM,Mercedes,66,1:31:45.279,
,Belgium,30 Aug 2020,Lewis  Hamilton  HAM,Mercedes,44,1:24:08.761,
,Italy,06 Sep 2020,Pierre  Gasly  GAS,AlphaTauri Honda,53,1:47:06.056,
,Tuscany,13 Sep 2020,Lewis  Hamilton  HAM,Mercedes,59,2:19:35.060,
,Russia,27 Sep 2020,Valtteri  Bottas  BOT,Mercedes,53,1:34:00.364,
,Eifel,11 Oct 2020,Lewis  Hamilton  HAM,Mercedes,60,1:35:49.641,
,Portugal,25 Oct 2020,Lewis  Hamilton  HAM,Mercedes,66,1:29:56.828,
,Emilia Romagna,01 Nov 2020,Lewis  Hamilton  HAM,Mercedes,63,1:28:32.430,
,Turkey,15 Nov 2020,Lewis  Hamilton  HAM,Mercedes,58,1:42:19.313,
,Bahrain,29 Nov 2020,Lewis  Hamilton  HAM,Mercedes,57,2:59:47.515,
,Sakhir,06 Dec 2020,Sergio  Perez  PER,Racing Point BWT Mercedes,87,1:31:15.114,
,Abu Dhabi,13 Dec 2020,Max  Verstappen  VER,Red Bull Racing Honda,55,1:36:28.645,
