Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,19 Jan 1958,Stirling  Moss  MOS,Cooper Climax,80,2:19:33.700,
,Monaco,18 May 1958,Maurice Trintignant  TRI,Cooper Climax,100,2:52:27.900,
,Netherlands,26 May 1958,Stirling  Moss  MOS,Vanwall,75,2:04:49.200,
,Indianapolis 500,30 May 1958,Jimmy  Bryan  BRY,Epperly Offenhauser,200,3:44:13.800,
,Belgium,15 Jun 1958,Tony  Brooks  BRO,Vanwall,24,1:37:06.300,
,France,06 Jul 1958,Mike  Hawthorn  HAW,Ferrari,50,2:03:21.300,
,Great Britain,19 Jul 1958,Peter  Collins  COL,Ferrari,75,2:09:04.200,
,Germany,03 Aug 1958,Tony  Brooks  BRO,Vanwall,15,2:21:15.000,
,Portugal,24 Aug 1958,Stirling  Moss  MOS,Vanwall,50,2:11:27.800,
,Italy,07 Sep 1958,Tony  Brooks  BRO,Vanwall,70,2:03:47.800,
,Morocco,19 Oct 1958,Stirling  Moss  MOS,Vanwall,53,2:09:15.100,
