Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,13 Jan 1980,Alan Jones  JON,Williams Ford,53,1:43:24.380,
,Brazil,27 Jan 1980,Rene  Arnoux  ARN,Renault,40,1:40:01.330,
,South Africa,01 Mar 1980,Rene  Arnoux  ARN,Renault,78,1:36:52.540,
,USA West,30 Mar 1980,Nelson  Piquet  PIQ,Brabham Ford,80,1:50:18.550,
,Belgium,04 May 1980,Didier  Pironi  PIR,Ligier Ford,72,1:38:46.510,
,Monaco,18 May 1980,Carlos  Reutemann  REU,Williams Ford,76,1:55:34.365,
,France,29 Jun 1980,Alan Jones  JON,Williams Ford,54,1:32:43.420,
,Great Britain,13 Jul 1980,Alan Jones  JON,Williams Ford,76,1:34:49.228,
,Germany,10 Aug 1980,Jacques  Laffite  LAF,Ligier Ford,45,1:22:59.730,
,Austria,17 Aug 1980,Jean-Pierre  Jabouille  JAB,Renault,54,1:26:15.730,
,Netherlands,31 Aug 1980,Nelson  Piquet  PIQ,Brabham Ford,72,1:38:13.830,
,Italy,14 Sep 1980,Nelson  Piquet  PIQ,Brabham Ford,60,1:38:07.520,
,Canada,28 Sep 1980,Alan Jones  JON,Williams Ford,70,1:46:45.530,
,USA East,05 Oct 1980,Alan Jones  JON,Williams Ford,59,1:34:36.050,
