Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,South Africa,01 Mar 1969,Jackie  Stewart  STE,Matra Ford,80,1:50:39.100,
,Spain,04 May 1969,Jackie  Stewart  STE,Matra Ford,90,2:16:53.990,
,Monaco,18 May 1969,Graham  Hill  HIL,Lotus Ford,80,1:56:59.400,
,Netherlands,21 Jun 1969,Jackie  Stewart  STE,Matra Ford,90,2:06:42.080,
,France,06 Jul 1969,Jackie  Stewart  STE,Matra Ford,38,1:56:47.400,
,Great Britain,19 Jul 1969,Jackie  Stewart  STE,Matra Ford,84,1:55:55.600,
,Germany,03 Aug 1969,Jacky  Ickx  ICK,Brabham Ford,14,1:49:55.400,
,Italy,07 Sep 1969,Jackie  Stewart  STE,Matra Ford,68,1:39:11.260,
,Canada,20 Sep 1969,Jacky  Ickx  ICK,Brabham Ford,90,1:59:25.700,
,United States,05 Oct 1969,Jochen  Rindt  RIN,Lotus Ford,108,1:57:56.840,
,Mexico,19 Oct 1969,Denny  Hulme  HUL,McLaren Ford,65,1:54:08.800,
