Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Bahrain,12 Mar 2006,Fernando  Alonso  ALO,Renault,57,1:29:46.205,
,Malaysia,19 Mar 2006,Giancarlo  Fisichella  FIS,Renault,56,1:30:40.529,
,Australia,02 Apr 2006,Fernando  Alonso  ALO,Renault,57,1:34:27.870,
,San Marino,23 Apr 2006,Michael  Schumacher  MSC,Ferrari,62,1:31:06.486,
,Europe,07 May 2006,Michael  Schumacher  MSC,Ferrari,60,1:35:58.765,
,Spain,14 May 2006,Fernando  Alonso  ALO,Renault,66,1:26:21.759,
,Monaco,28 May 2006,Fernando  Alonso  ALO,Renault,78,1:43:43.116,
,Great Britain,11 Jun 2006,Fernando  Alonso  ALO,Renault,60,1:25:51.927,
,Canada,25 Jun 2006,Fernando  Alonso  ALO,Renault,70,1:34:37.308,
,United States,02 Jul 2006,Michael  Schumacher  MSC,Ferrari,73,1:34:35.199,
,France,16 Jul 2006,Michael  Schumacher  MSC,Ferrari,70,1:32:07.803,
,Germany,30 Jul 2006,Michael  Schumacher  MSC,Ferrari,67,1:27:51.693,
,Hungary,06 Aug 2006,Jenson  Button  BUT,Honda,70,1:52:20.941,
,Turkey,27 Aug 2006,Felipe  Massa  MAS,Ferrari,58,1:28:51.082,
,Italy,10 Sep 2006,Michael  Schumacher  MSC,Ferrari,53,1:14:51.975,
,China,01 Oct 2006,Michael  Schumacher  MSC,Ferrari,56,1:37:32.747,
,Japan,08 Oct 2006,Fernando  Alonso  ALO,Renault,53,1:23:53.413,
,Brazil,22 Oct 2006,Felipe  Massa  MAS,Ferrari,71,1:31:53.751,
