Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,18 Mar 2012,Jenson  Button  BUT,McLaren Mercedes,58,1:34:09.565,
,Malaysia,25 Mar 2012,Fernando  Alonso  ALO,Ferrari,56,2:44:51.812,
,China,15 Apr 2012,Nico  Rosberg  ROS,Mercedes,56,1:36:26.929,
,Bahrain,22 Apr 2012,Sebastian  Vettel  VET,Red Bull Racing Renault,57,1:35:10.990,
,Spain,13 May 2012,Pastor  Maldonado  MAL,Williams Renault,66,1:39:09.145,
,Monaco,27 May 2012,Mark  Webber  WEB,Red Bull Racing Renault,78,1:46:06.557,
,Canada,10 Jun 2012,Lewis  Hamilton  HAM,McLaren Mercedes,70,1:32:29.586,
,Europe,24 Jun 2012,Fernando  Alonso  ALO,Ferrari,57,1:44:16.649,
,Great Britain,08 Jul 2012,Mark  Webber  WEB,Red Bull Racing Renault,52,1:25:11.288,
,Germany,22 Jul 2012,Fernando  Alonso  ALO,Ferrari,67,1:31:05.862,
,Hungary,29 Jul 2012,Lewis  Hamilton  HAM,McLaren Mercedes,69,1:41:05.503,
,Belgium,02 Sep 2012,Jenson  Button  BUT,McLaren Mercedes,44,1:29:08.530,
,Italy,09 Sep 2012,Lewis  Hamilton  HAM,McLaren Mercedes,53,1:19:41.221,
,Singapore,23 Sep 2012,Sebastian  Vettel  VET,Red Bull Racing Renault,59,2:00:26.144,
,Japan,07 Oct 2012,Sebastian  Vettel  VET,Red Bull Racing Renault,53,1:28:56.242,
,South Korea,14 Oct 2012,Sebastian  Vettel  VET,Red Bull Racing Renault,55,1:36:28.651,
,India,28 Oct 2012,Sebastian  Vettel  VET,Red Bull Racing Renault,60,1:31:10.744,
,Abu Dhabi,04 Nov 2012,Kimi  Räikkönen  RAI,Lotus Renault,55,1:45:58.667,
,United States,18 Nov 2012,Lewis  Hamilton  HAM,McLaren Mercedes,56,1:35:55.269,
,Brazil,25 Nov 2012,Jenson  Button  BUT,McLaren Mercedes,71,1:45:22.656,
