Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,South Africa,06 Mar 1971,Mario  Andretti  AND,Ferrari,79,1:47:35.500,
,Spain,18 Apr 1971,Jackie  Stewart  STE,Tyrrell Ford,75,1:49:03.400,
,Monaco,23 May 1971,Jackie  Stewart  STE,Tyrrell Ford,80,1:52:21.300,
,Netherlands,20 Jun 1971,Jacky  Ickx  ICK,Ferrari,70,1:56:20.090,
,France,04 Jul 1971,Jackie  Stewart  STE,Tyrrell Ford,55,1:46:41.680,
,Great Britain,17 Jul 1971,Jackie  Stewart  STE,Tyrrell Ford,68,1:31:31.500,
,Germany,01 Aug 1971,Jackie  Stewart  STE,Tyrrell Ford,12,1:29:15.700,
,Austria,15 Aug 1971,Jo  Siffert  SIF,BRM,54,1:30:23.910,
,Italy,05 Sep 1971,Peter Gethin GET,BRM,55,1:18:12.600,
,Canada,19 Sep 1971,Jackie  Stewart  STE,Tyrrell Ford,64,1:55:12.900,
,United States,03 Oct 1971,Francois Cevert CEV,Tyrrell Ford,59,1:43:51.991,
