Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Switzerland,18 May 1952,Piero Taruffi  TAR,Ferrari,62,3:01:46.100,
,Indianapolis 500,30 May 1952,Troy  Ruttman  RUT,Kuzma Offenhauser,200,3:52:41.880,
,Belgium,22 Jun 1952,Alberto  Ascari  ASC,Ferrari,36,3:03:46.300,
,France,06 Jul 1952,Alberto  Ascari  ASC,Ferrari,77,3:00:00.000,
,Great Britain,19 Jul 1952,Alberto  Ascari  ASC,Ferrari,85,2:44:11.000,
,Germany,03 Aug 1952,Alberto  Ascari  ASC,Ferrari,18,3:06:13.300,
,Netherlands,17 Aug 1952,Alberto  Ascari  ASC,Ferrari,90,2:53:28.500,
,Italy,07 Sep 1952,Alberto  Ascari  ASC,Ferrari,80,2:50:45.600,
