Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,13 Jan 1957,Juan Manuel  Fangio  FAN,Maserati,100.0,3:00:55.900,
,Monaco,19 May 1957,Juan Manuel  Fangio  FAN,Maserati,105.0,3:10:12.800,
,Indianapolis 500,30 May 1957,Sam  Hanks  HAN,Epperly Offenhauser,200.0,3:41:14.250,
,France,07 Jul 1957,Juan Manuel  Fangio  FAN,Maserati,77.0,3:07:46.400,
,Great Britain,20 Jul 1957,Stirling  Moss  MOS,Vanwall,90.0,3:06:37.800,
,Great Britain,20 Jul 1957,Tony  Brooks  BRO,Vanwall,,,
,Germany,04 Aug 1957,Juan Manuel  Fangio  FAN,Maserati,22.0,3:30:38.300,
,Pescara,18 Aug 1957,Stirling  Moss  MOS,Vanwall,18.0,2:59:22.700,
,Italy,08 Sep 1957,Stirling  Moss  MOS,Vanwall,87.0,2:35:03.900,
