Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,16 Jan 1955,Juan Manuel  Fangio  FAN,Mercedes-Benz,96,3:00:38.600,
,Monaco,22 May 1955,Maurice Trintignant  TRI,Ferrari,100,2:58:09.700,
,Indianapolis 500,30 May 1955,Bob  Sweikert  SWE,Kurtis Kraft Offenhauser,200,3:53:59.530,
,Belgium,05 Jun 1955,Juan Manuel  Fangio  FAN,Mercedes-Benz,36,2:39:29.000,
,Netherlands,19 Jun 1955,Juan Manuel  Fangio  FAN,Mercedes-Benz,100,2:54:23.800,
,Great Britain,16 Jul 1955,Stirling  Moss  MOS,Mercedes-Benz,90,3:07:21.200,
,Italy,11 Sep 1955,Juan Manuel  Fangio  FAN,Mercedes-Benz,50,2:25:04.400,
