Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,United States,10 Mar 1991,Ayrton  Senna  SEN,McLaren Honda,81,2:00:47.828,
,Brazil,24 Mar 1991,Ayrton  Senna  SEN,McLaren Honda,71,1:38:28.128,
,San Marino,28 Apr 1991,Ayrton  Senna  SEN,McLaren Honda,61,1:35:14.750,
,Monaco,12 May 1991,Ayrton  Senna  SEN,McLaren Honda,78,1:53:02.334,
,Canada,02 Jun 1991,Nelson  Piquet  PIQ,Benetton Ford,69,1:38:51.490,
,Mexico,16 Jun 1991,Riccardo  Patrese  PAT,Williams Renault,67,1:29:52.205,
,France,07 Jul 1991,Nigel  Mansell  MAN,Williams Renault,72,1:38:00.056,
,Great Britain,14 Jul 1991,Nigel  Mansell  MAN,Williams Renault,59,1:27:35.479,
,Germany,28 Jul 1991,Nigel  Mansell  MAN,Williams Renault,45,1:19:29.661,
,Hungary,11 Aug 1991,Ayrton  Senna  SEN,McLaren Honda,77,1:49:12.796,
,Belgium,25 Aug 1991,Ayrton  Senna  SEN,McLaren Honda,44,1:27:17.669,
,Italy,08 Sep 1991,Nigel  Mansell  MAN,Williams Renault,53,1:17:54.319,
,Portugal,22 Sep 1991,Riccardo  Patrese  PAT,Williams Renault,71,1:35:42.304,
,Spain,29 Sep 1991,Nigel  Mansell  MAN,Williams Renault,65,1:38:41.541,
,Japan,20 Oct 1991,Gerhard  Berger  BER,McLaren Honda,53,1:32:10.695,
,Australia,03 Nov 1991,Ayrton  Senna  SEN,McLaren Honda,14,24:34.899,
