Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,09 Mar 2003,David  Coulthard  COU,McLaren Mercedes,58,1:34:42.124,
,Malaysia,23 Mar 2003,Kimi  Räikkönen  RAI,McLaren Mercedes,56,1:32:22.195,
,Brazil,06 Apr 2003,Giancarlo  Fisichella  FIS,Jordan Ford,54,1:31:17.748,
,San Marino,20 Apr 2003,Michael  Schumacher  MSC,Ferrari,62,1:28:12.058,
,Spain,04 May 2003,Michael  Schumacher  MSC,Ferrari,65,1:33:46.933,
,Austria,18 May 2003,Michael  Schumacher  MSC,Ferrari,69,1:24:04.888,
,Monaco,01 Jun 2003,Juan Pablo  Montoya  MOY,Williams BMW,78,1:42:19.010,
,Canada,15 Jun 2003,Michael  Schumacher  MSC,Ferrari,70,1:31:13.591,
,Europe,29 Jun 2003,Ralf  Schumacher  RSC,Williams BMW,60,1:34:43.622,
,France,06 Jul 2003,Ralf  Schumacher  RSC,Williams BMW,70,1:30:49.213,
,Great Britain,20 Jul 2003,Rubens  Barrichello  BAR,Ferrari,60,1:28:37.554,
,Germany,03 Aug 2003,Juan Pablo  Montoya  MOY,Williams BMW,67,1:28:48.769,
,Hungary,24 Aug 2003,Fernando  Alonso  ALO,Renault,70,1:39:01.460,
,Italy,14 Sep 2003,Michael  Schumacher  MSC,Ferrari,53,1:14:19.838,
,United States,28 Sep 2003,Michael  Schumacher  MSC,Ferrari,73,1:33:35.997,
,Japan,12 Oct 2003,Rubens  Barrichello  BAR,Ferrari,53,1:25:11.743,
