Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,25 Mar 2018,Sebastian  Vettel  VET,Ferrari,58,1:29:33.283,
,Bahrain,08 Apr 2018,Sebastian  Vettel  VET,Ferrari,57,1:32:01.940,
,China,15 Apr 2018,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,56,1:35:36.380,
,Azerbaijan,29 Apr 2018,Lewis  Hamilton  HAM,Mercedes,51,1:43:44.291,
,Spain,13 May 2018,Lewis  Hamilton  HAM,Mercedes,66,1:35:29.972,
,Monaco,27 May 2018,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,78,1:42:54.807,
,Canada,10 Jun 2018,Sebastian  Vettel  VET,Ferrari,68,1:28:31.377,
,France,24 Jun 2018,Lewis  Hamilton  HAM,Mercedes,53,1:30:11.385,
,Austria,01 Jul 2018,Max  Verstappen  VER,Red Bull Racing TAG Heuer,71,1:21:56.024,
,Great Britain,08 Jul 2018,Sebastian  Vettel  VET,Ferrari,52,1:27:29.784,
,Germany,22 Jul 2018,Lewis  Hamilton  HAM,Mercedes,67,1:32:29.845,
,Hungary,29 Jul 2018,Lewis  Hamilton  HAM,Mercedes,70,1:37:16.427,
,Belgium,26 Aug 2018,Sebastian  Vettel  VET,Ferrari,44,1:23:34.476,
,Italy,02 Sep 2018,Lewis  Hamilton  HAM,Mercedes,53,1:16:54.484,
,Singapore,16 Sep 2018,Lewis  Hamilton  HAM,Mercedes,61,1:51:11.611,
,Russia,30 Sep 2018,Lewis  Hamilton  HAM,Mercedes,53,1:27:25.181,
,Japan,07 Oct 2018,Lewis  Hamilton  HAM,Mercedes,53,1:27:17.062,
,United States,21 Oct 2018,Kimi  Räikkönen  RAI,Ferrari,56,1:34:18.643,
,Mexico,28 Oct 2018,Max  Verstappen  VER,Red Bull Racing TAG Heuer,71,1:38:28.851,
,Brazil,11 Nov 2018,Lewis  Hamilton  HAM,Mercedes,71,1:27:09.066,
,Abu Dhabi,25 Nov 2018,Lewis  Hamilton  HAM,Mercedes,55,1:39:40.382,
