Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,12 Jan 1975,Emerson  Fittipaldi  FIT,McLaren Ford,53,1:39:26.290,
,Brazil,26 Jan 1975,Carlos  Pace  PAC,Brabham Ford,40,1:44:41.170,
,South Africa,01 Mar 1975,Jody  Scheckter  SCH,Tyrrell Ford,78,1:43:16.900,
,Spain,27 Apr 1975,Jochen  Mass  MAS,McLaren Ford,29,42:53.700,
,Monaco,11 May 1975,Niki  Lauda  LAU,Ferrari,75,2:01:21.310,
,Belgium,25 May 1975,Niki  Lauda  LAU,Ferrari,70,1:43:53.980,
,Sweden,08 Jun 1975,Niki  Lauda  LAU,Ferrari,80,1:59:18.319,
,Netherlands,22 Jun 1975,James  Hunt  HUN,Hesketh Ford,75,1:46:57.400,
,France,06 Jul 1975,Niki  Lauda  LAU,Ferrari,54,1:40:18.840,
,Great Britain,19 Jul 1975,Emerson  Fittipaldi  FIT,McLaren Ford,56,1:22:05.000,
,Germany,03 Aug 1975,Carlos  Reutemann  REU,Brabham Ford,14,1:41:14.100,
,Austria,17 Aug 1975,Vittorio  Brambilla  BRA,March Ford,29,57:56.690,
,Italy,07 Sep 1975,Clay  Regazzoni  REG,Ferrari,52,1:22:42.600,
,United States,05 Oct 1975,Niki  Lauda  LAU,Ferrari,59,1:42:58.175,
