Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,04 Mar 2001,Michael  Schumacher  MSC,Ferrari,58,1:38:26.533,
,Malaysia,18 Mar 2001,Michael  Schumacher  MSC,Ferrari,55,1:47:34.801,
,Brazil,01 Apr 2001,David  Coulthard  COU,McLaren Mercedes,71,1:39:00.834,
,San Marino,15 Apr 2001,Ralf  Schumacher  RSC,Williams BMW,62,1:30:44.817,
,Spain,29 Apr 2001,Michael  Schumacher  MSC,Ferrari,65,1:31:03.305,
,Austria,13 May 2001,David  Coulthard  COU,McLaren Mercedes,71,1:27:45.927,
,Monaco,27 May 2001,Michael  Schumacher  MSC,Ferrari,78,1:47:22.561,
,Canada,10 Jun 2001,Ralf  Schumacher  RSC,Williams BMW,69,1:34:31.522,
,Europe,24 Jun 2001,Michael  Schumacher  MSC,Ferrari,67,1:29:42.724,
,France,01 Jul 2001,Michael  Schumacher  MSC,Ferrari,72,1:33:35.636,
,Great Britain,15 Jul 2001,Mika  Hakkinen  HAK,McLaren Mercedes,60,1:25:33.770,
,Germany,29 Jul 2001,Ralf  Schumacher  RSC,Williams BMW,45,1:18:17.873,
,Hungary,19 Aug 2001,Michael  Schumacher  MSC,Ferrari,77,1:41:49.675,
,Belgium,02 Sep 2001,Michael  Schumacher  MSC,Ferrari,36,1:08:05.002,
,Italy,16 Sep 2001,Juan Pablo  Montoya  MOY,Williams BMW,53,1:16:58.493,
,United States,30 Sep 2001,Mika  Hakkinen  HAK,McLaren Mercedes,73,1:32:42.840,
,Japan,14 Oct 2001,Michael  Schumacher  MSC,Ferrari,53,1:27:33.298,
