Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Brazil,26 Mar 1989,Nigel  Mansell  MAN,Ferrari,61,1:38:58.744,
,San Marino,23 Apr 1989,Ayrton  Senna  SEN,McLaren Honda,58,1:26:51.245,
,Monaco,07 May 1989,Ayrton  Senna  SEN,McLaren Honda,77,1:53:33.251,
,Mexico,28 May 1989,Ayrton  Senna  SEN,McLaren Honda,69,1:35:21.431,
,United States,04 Jun 1989,Alain  Prost  PRO,McLaren Honda,75,2:01:33.133,
,Canada,18 Jun 1989,Thierry  Boutsen  BOU,Williams Renault,69,2:01:24.073,
,France,09 Jul 1989,Alain  Prost  PRO,McLaren Honda,80,1:38:29.411,
,Great Britain,16 Jul 1989,Alain  Prost  PRO,McLaren Honda,64,1:19:22.131,
,Germany,30 Jul 1989,Ayrton  Senna  SEN,McLaren Honda,45,1:21:43.302,
,Hungary,13 Aug 1989,Nigel  Mansell  MAN,Ferrari,77,1:49:38.650,
,Belgium,27 Aug 1989,Ayrton  Senna  SEN,McLaren Honda,44,1:40:54.196,
,Italy,10 Sep 1989,Alain  Prost  PRO,McLaren Honda,53,1:19:27.550,
,Portugal,24 Sep 1989,Gerhard  Berger  BER,Ferrari,71,1:36:48.546,
,Spain,01 Oct 1989,Ayrton  Senna  SEN,McLaren Honda,72,1:47:48.264,
,Japan,22 Oct 1989,Alessandro  Nannini  NAN,Benetton Ford,53,1:35:06.277,
,Australia,05 Nov 1989,Thierry  Boutsen  BOU,Williams Renault,70,2:00:17.421,
