Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,South Africa,23 Jan 1982,Alain  Prost  PRO,Renault,77,1:32:08.401,
,Brazil,21 Mar 1982,Alain  Prost  PRO,Renault,63,1:44:33.134,
,USA West,04 Apr 1982,Niki  Lauda  LAU,McLaren Ford,75,1:58:25.318,
,San Marino,25 Apr 1982,Didier  Pironi  PIR,Ferrari,60,1:36:38.887,
,Belgium,09 May 1982,John  Watson  WAT,McLaren Ford,70,1:35:41.995,
,Monaco,23 May 1982,Riccardo  Patrese  PAT,Brabham Ford,76,1:54:11.259,
,Detroit,06 Jun 1982,John  Watson  WAT,McLaren Ford,62,1:58:41.043,
,Canada,13 Jun 1982,Nelson  Piquet  PIQ,Brabham BMW,70,1:46:39.577,
,Netherlands,03 Jul 1982,Didier  Pironi  PIR,Ferrari,72,1:38:03.254,
,Great Britain,18 Jul 1982,Niki  Lauda  LAU,McLaren Ford,76,1:35:33.812,
,France,25 Jul 1982,Rene  Arnoux  ARN,Renault,54,1:33:33.217,
,Germany,08 Aug 1982,Patrick  Tambay  TAM,Ferrari,45,1:27:25.178,
,Austria,15 Aug 1982,Elio  de Angelis  DEA,Lotus Ford,53,1:25:02.212,
,Switzerland,29 Aug 1982,Keke  Rosberg  ROS,Williams Ford,80,1:32:41.087,
,Italy,12 Sep 1982,Rene  Arnoux  ARN,Renault,52,1:22:25.734,
,Las Vegas,25 Sep 1982,Michele  Alboreto  ALB,Tyrrell Ford,75,1:41:56.888,
