Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,08 Mar 1998,Mika  Hakkinen  HAK,McLaren Mercedes,58,1:31:45.996,
,Brazil,29 Mar 1998,Mika  Hakkinen  HAK,McLaren Mercedes,72,1:37:11.747,
,Argentina,12 Apr 1998,Michael  Schumacher  MSC,Ferrari,72,1:48:36.175,
,San Marino,26 Apr 1998,David  Coulthard  COU,McLaren Mercedes,62,1:34:24.593,
,Spain,10 May 1998,Mika  Hakkinen  HAK,McLaren Mercedes,65,1:33:37.621,
,Monaco,24 May 1998,Mika  Hakkinen  HAK,McLaren Mercedes,78,1:51:23.595,
,Canada,07 Jun 1998,Michael  Schumacher  MSC,Ferrari,69,1:40:57.355,
,France,28 Jun 1998,Michael  Schumacher  MSC,Ferrari,71,1:34:45.026,
,Great Britain,12 Jul 1998,Michael  Schumacher  MSC,Ferrari,60,1:47:02.450,
,Austria,26 Jul 1998,Mika  Hakkinen  HAK,McLaren Mercedes,71,1:30:44.086,
,Germany,02 Aug 1998,Mika  Hakkinen  HAK,McLaren Mercedes,45,1:20:47.984,
,Hungary,16 Aug 1998,Michael  Schumacher  MSC,Ferrari,77,1:45:25.550,
,Belgium,30 Aug 1998,Damon  Hill  HIL,Jordan Mugen Honda,44,1:43:47.407,
,Italy,13 Sep 1998,Michael  Schumacher  MSC,Ferrari,53,1:17:09.672,
,Luxembourg,27 Sep 1998,Mika  Hakkinen  HAK,McLaren Mercedes,67,1:32:14.789,
,Japan,01 Nov 1998,Mika  Hakkinen  HAK,McLaren Mercedes,51,1:27:22.535,
