Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,South Africa,01 Jan 1965,Jim  Clark  CLA,Lotus Climax,85,2:06:46.000,
,Monaco,30 May 1965,Graham  Hill  HIL,BRM,100,2:37:39.600,
,Belgium,13 Jun 1965,Jim  Clark  CLA,Lotus Climax,32,2:23:34.800,
,France,27 Jun 1965,Jim  Clark  CLA,Lotus Climax,40,2:14:38.400,
,Great Britain,10 Jul 1965,Jim  Clark  CLA,Lotus Climax,80,2:05:25.400,
,Netherlands,18 Jul 1965,Jim  Clark  CLA,Lotus Climax,80,2:03:59.100,
,Germany,01 Aug 1965,Jim  Clark  CLA,Lotus Climax,15,2:07:52.400,
,Italy,12 Sep 1965,Jackie  Stewart  STE,BRM,76,2:04:52.800,
,United States,03 Oct 1965,Graham  Hill  HIL,BRM,110,2:20:36.100,
,Mexico,24 Oct 1965,Richie  Ginther  GIN,Honda,65,2:08:32.100,
