Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,20 Mar 2016,Nico  Rosberg  ROS,Mercedes,57,1:48:15.565,
,Bahrain,03 Apr 2016,Nico  Rosberg  ROS,Mercedes,57,1:33:34.696,
,China,17 Apr 2016,Nico  Rosberg  ROS,Mercedes,56,1:38:53.891,
,Russia,01 May 2016,Nico  Rosberg  ROS,Mercedes,53,1:32:41.997,
,Spain,15 May 2016,Max  Verstappen  VES,Red Bull Racing TAG Heuer,66,1:41:40.017,
,Monaco,29 May 2016,Lewis  Hamilton  HAM,Mercedes,78,1:59:29.133,
,Canada,12 Jun 2016,Lewis  Hamilton  HAM,Mercedes,70,1:31:05.296,
,Europe,19 Jun 2016,Nico  Rosberg  ROS,Mercedes,51,1:32:52.366,
,Austria,03 Jul 2016,Lewis  Hamilton  HAM,Mercedes,71,1:27:38.107,
,Great Britain,10 Jul 2016,Lewis  Hamilton  HAM,Mercedes,52,1:34:55.831,
,Hungary,24 Jul 2016,Lewis  Hamilton  HAM,Mercedes,70,1:40:30.115,
,Germany,31 Jul 2016,Lewis  Hamilton  HAM,Mercedes,67,1:30:44.200,
,Belgium,28 Aug 2016,Nico  Rosberg  ROS,Mercedes,44,1:44:51.058,
,Italy,04 Sep 2016,Nico  Rosberg  ROS,Mercedes,53,1:17:28.089,
,Singapore,18 Sep 2016,Nico  Rosberg  ROS,Mercedes,61,1:55:48.950,
,Malaysia,02 Oct 2016,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,56,1:37:12.776,
,Japan,09 Oct 2016,Nico  Rosberg  ROS,Mercedes,53,1:26:43.333,
,United States,23 Oct 2016,Lewis  Hamilton  HAM,Mercedes,56,1:38:12.618,
,Mexico,30 Oct 2016,Lewis  Hamilton  HAM,Mercedes,71,1:40:31.402,
,Brazil,13 Nov 2016,Lewis  Hamilton  HAM,Mercedes,71,3:01:01.335,
,Abu Dhabi,27 Nov 2016,Lewis  Hamilton  HAM,Mercedes,55,1:38:04.013,
