Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Emerson  Fittipaldi  FIT,BRA,Lotus Ford,61,
,2,Jackie  Stewart  STE,GBR,Tyrrell Ford,45,
,3,Denny  Hulme  HUL,NZL,McLaren Ford,39,
,4,Jacky  Ickx  ICK,BEL,Ferrari,27,
,5,Peter Revson  REV,USA,McLaren Ford,23,
,6,Francois Cevert CEV,FRA,Tyrrell Ford,15,
,6,Clay  Regazzoni  REG,SUI,Ferrari,15,
,8,Mike  Hailwood  HAI,GBR,Surtees Ford,13,
,9,Ronnie  Peterson  PET,SWE,March Ford,12,
,9,Chris  Amon  AMO,NZL,Matra,12,
,11,Jean-Pierre  Beltoise  BEL,FRA,BRM,9,
,12,Mario  Andretti  AND,USA,Ferrari,4,
,12,Howden Ganley GAN,NZL,BRM,4,
,12,Brian Redman  RED,GBR,BRM,4,
,12,Graham  Hill  HIL,GBR,Brabham Ford,4,
,16,Andrea  de Adamich DEA,ITA,Surtees Ford,3,
,16,Carlos  Reutemann  REU,ARG,Brabham Ford,3,
,16,Carlos  Pace  PAC,BRA,March Ford,3,
,19,Tim Schenken  SCH,AUS,Surtees Ford,2,
,20,Arturo  Merzario  MER,ITA,Ferrari,1,
,20,Peter Gethin GET,GBR,BRM,1,
