Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Niki  Lauda  LAU,AUT,Ferrari,72,
,2,Jody  Scheckter  SCH,RSA,Wolf Ford,55,
,3,Mario  Andretti  AND,USA,Lotus Ford,47,
,4,Carlos  Reutemann  REU,ARG,Ferrari,42,
,5,James  Hunt  HUN,GBR,McLaren Ford,40,
,6,Jochen  Mass  MAS,GER,McLaren Ford,25,
,7,Alan Jones  JON,AUS,Shadow Ford,22,
,8,Gunnar  Nilsson  NIL,SWE,Lotus Ford,20,
,8,Patrick  Depailler  DEP,FRA,Tyrrell Ford,20,
,10,Jacques  Laffite  LAF,FRA,Ligier Matra,18,
,11,Hans-Joachim  Stuck  STU,GER,Brabham Alfa Romeo,12,
,12,Emerson  Fittipaldi  FIT,BRA,Fittipaldi Ford,11,
,13,John  Watson  WAT,GBR,Brabham Alfa Romeo,9,
,14,Ronnie  Peterson  PET,SWE,Tyrrell Ford,7,
,15,Carlos  Pace  PAC,BRA,Brabham Alfa Romeo,6,
,15,Vittorio  Brambilla  BRA,ITA,Surtees Ford,6,
,17,Patrick  Tambay  TAM,FRA,Ensign Ford,5,
,17,Clay  Regazzoni  REG,SUI,Ensign Ford,5,
,19,Renzo  Zorzi  ZOR,ITA,Shadow Ford,1,
,19,Jean-Pierre  Jarier  JAR,FRA,Ligier Matra,1,
,19,Riccardo  Patrese  PAT,ITA,Shadow Ford,1,
