Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Fernando  Alonso  ALO,ESP,Renault,133,
,2,Kimi  Räikkönen  RAI,FIN,McLaren Mercedes,112,
,3,Michael  Schumacher  MSC,GER,Ferrari,62,
,4,Juan Pablo  Montoya  MOY,COL,McLaren Mercedes,60,
,5,Giancarlo  Fisichella  FIS,ITA,Renault,58,
,6,Ralf  Schumacher  RSC,GER,Toyota,45,
,7,Jarno  Trulli  TRU,ITA,Toyota,43,
,8,Rubens  Barrichello  BAR,BRA,Ferrari,38,
,9,Jenson  Button  BUT,GBR,BAR Honda,37,
,10,Mark  Webber  WEB,AUS,Williams BMW,36,
,11,Nick  Heidfeld  HEI,GER,Williams BMW,28,
,12,David  Coulthard  COU,GBR,RBR Cosworth,24,
,13,Felipe  Massa  MAS,BRA,Sauber Petronas,11,
,14,Jacques  Villeneuve  VIL,CAN,Sauber Petronas,9,
,15,Christian  Klien  KLI,AUT,RBR Cosworth,9,
,16,Tiago  Monteiro  MON,POR,Jordan Toyota,7,
,17,Alexander  Wurz  WUR,AUT,McLaren Mercedes,6,
,18,Narain  Karthikeyan  KAR,IND,Jordan Toyota,5,
,19,Christijan  Albers  ALB,NED,Minardi Cosworth,4,
,20,Pedro  de la Rosa  DLR,ESP,McLaren Mercedes,4,
,21,Patrick  Friesacher FRI,AUT,Minardi Cosworth,3,
,22,Antonio  Pizzonia  PIZ,BRA,Williams BMW,2,
,23,Takuma  Sato  SAT,JPN,BAR Honda,1,
,24,Vitantonio  Liuzzi  LIU,ITA,RBR Cosworth,1,
,25,Robert  Doornbos  DOO,MON,Minardi Cosworth,0,
