Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jackie  Stewart  STE,GBR,Tyrrell Ford,71,
,2,Emerson  Fittipaldi  FIT,BRA,Lotus Ford,55,
,3,Ronnie  Peterson  PET,SWE,Lotus Ford,52,
,4,Francois Cevert CEV,FRA,Tyrrell Ford,47,
,5,Peter Revson  REV,USA,McLaren Ford,38,
,6,Denny  Hulme  HUL,NZL,McLaren Ford,26,
,7,Carlos  Reutemann  REU,ARG,Brabham Ford,16,
,8,James  Hunt  HUN,GBR,March Ford,14,
,9,Jacky  Ickx  ICK,BEL,Iso Marlboro Ford,12,
,10,Jean-Pierre  Beltoise  BEL,FRA,BRM,9,
,11,Carlos  Pace  PAC,BRA,Surtees Ford,7,
,12,Arturo  Merzario  MER,ITA,Ferrari,6,
,13,George Follmer FOL,USA,Shadow Ford,5,
,14,Jackie  Oliver  OLI,GBR,Shadow Ford,4,
,15,Andrea  de Adamich DEA,ITA,Brabham Ford,3,
,15,Wilson  Fittipaldi  FIT,BRA,Brabham Ford,3,
,17,Niki  Lauda  LAU,AUT,BRM,2,
,17,Clay  Regazzoni  REG,SUI,BRM,2,
,19,Chris  Amon  AMO,NZL,Tyrrell Ford,1,
,19,Gijs  van Lennep  VAN,NED,Iso Marlboro Ford,1,
,19,Howden Ganley GAN,NZL,Iso Marlboro Ford,1,
