Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Brazil,25 Mar 1984,Alain  Prost  PRO,McLaren TAG,61,1:42:34.492,
,South Africa,07 Apr 1984,Niki  Lauda  LAU,McLaren TAG,75,1:29:23.430,
,Belgium,29 Apr 1984,Michele  Alboreto  ALB,Ferrari,70,1:36:32.048,
,San Marino,06 May 1984,Alain  Prost  PRO,McLaren TAG,60,1:36:53.679,
,France,20 May 1984,Niki  Lauda  LAU,McLaren TAG,79,1:31:11.951,
,Monaco,03 Jun 1984,Alain  Prost  PRO,McLaren TAG,31,1:01:07.740,
,Canada,17 Jun 1984,Nelson  Piquet  PIQ,Brabham BMW,70,1:46:23.748,
,Detroit,24 Jun 1984,Nelson  Piquet  PIQ,Brabham BMW,63,1:55:41.842,
,Dallas,08 Jul 1984,Keke  Rosberg  ROS,Williams Honda,67,2:01:22.617,
,Great Britain,22 Jul 1984,Niki  Lauda  LAU,McLaren TAG,71,1:29:28.532,
,Germany,05 Aug 1984,Alain  Prost  PRO,McLaren TAG,44,1:24:43.210,
,Austria,19 Aug 1984,Niki  Lauda  LAU,McLaren TAG,51,1:21:12.851,
,Netherlands,26 Aug 1984,Alain  Prost  PRO,McLaren TAG,71,1:37:21.468,
,Italy,09 Sep 1984,Niki  Lauda  LAU,McLaren TAG,51,1:20:29.065,
,Europe,07 Oct 1984,Alain  Prost  PRO,McLaren TAG,67,1:35:13.284,
,Portugal,21 Oct 1984,Alain  Prost  PRO,McLaren TAG,70,1:41:11.753,
