Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Nelson  Piquet  PIQ,BRA,Brabham Ford,50,
,2,Carlos  Reutemann  REU,ARG,Williams Ford,49,
,3,Alan Jones  JON,AUS,Williams Ford,46,
,4,Jacques  Laffite  LAF,FRA,Ligier Matra,44,
,5,Alain  Prost  PRO,FRA,Renault,43,
,6,John  Watson  WAT,GBR,McLaren Ford,27,
,7,Gilles  Villeneuve  VIL,CAN,Ferrari,25,
,8,Elio  de Angelis  DEA,ITA,Lotus Ford,14,
,9,Rene  Arnoux  ARN,FRA,Renault,11,
,9,Hector  Rebaque  REB,MEX,Brabham Ford,11,
,11,Riccardo  Patrese  PAT,ITA,Arrows Ford,10,
,11,Eddie Cheever  CHE,USA,Tyrrell Ford,10,
,13,Didier  Pironi  PIR,FRA,Ferrari,9,
,14,Nigel  Mansell  MAN,GBR,Lotus Ford,8,
,15,Bruno  Giacomelli  GIA,ITA,Alfa Romeo,7,
,16,Marc  Surer  SUR,SUI,Theodore Ford,4,
,17,Mario  Andretti  AND,USA,Alfa Romeo,3,
,18,Patrick  Tambay  TAM,FRA,Ligier Matra,1,
,18,Andrea  de Cesaris  DEC,ITA,McLaren Ford,1,
,18,Slim  Borgudd  BOR,SWE,ATS Ford,1,
,18,Eliseo  Salazar  SAL,CHI,Ensign Ford,1,
