Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Lewis  Hamilton  HAM,GBR,McLaren Mercedes,98,
,2,Felipe  Massa  MAS,BRA,Ferrari,97,
,3,Kimi  Räikkönen  RAI,FIN,Ferrari,75,
,4,Robert  Kubica  KUB,POL,Sauber BMW,75,
,5,Fernando  Alonso  ALO,ESP,Renault,61,
,6,Nick  Heidfeld  HEI,GER,Sauber BMW,60,
,7,Heikki  Kovalainen  KOV,FIN,McLaren Mercedes,53,
,8,Sebastian  Vettel  VET,GER,STR Ferrari,35,
,9,Jarno  Trulli  TRU,ITA,Toyota,31,
,10,Timo  Glock  GLO,GER,Toyota,25,
,11,Mark  Webber  WEB,AUS,Red Bull Renault,21,
,12,Nelson  Piquet  PIQ,BRA,Renault,19,
,13,Nico  Rosberg  ROS,GER,Williams Toyota,17,
,14,Rubens  Barrichello  BAR,BRA,Honda,11,
,15,Kazuki  Nakajima  NAK,JPN,Williams Toyota,9,
,16,David  Coulthard  COU,GBR,Red Bull Renault,8,
,17,Sebastien  Bourdais  BOU,FRA,STR Ferrari,4,
,18,Jenson  Button  BUT,GBR,Honda,3,
,19,Giancarlo  Fisichella  FIS,ITA,Force India Ferrari,0,
,20,Adrian  Sutil  SUT,GER,Force India Ferrari,0,
,21,Takuma  Sato  SAT,JPN,Super Aguri Honda,0,
,22,Anthony  Davidson  DAV,GBR,Super Aguri Honda,0,
