Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Ferrari,45,
,2,BRM,42,
,3,Lotus Climax,37,
,4,Brabham Climax,30,
,5,Cooper Climax,16,
,6,Brabham BRM,7,
,7,BRP BRM,5,
,8,Lotus BRM,3,
