Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Sebastian  Vettel  VET,GER,Red Bull Racing Renault,392,
,2,Jenson  Button  BUT,GBR,McLaren Mercedes,270,
,3,Mark  Webber  WEB,AUS,Red Bull Racing Renault,258,
,4,Fernando  Alonso  ALO,ESP,Ferrari,257,
,5,Lewis  Hamilton  HAM,GBR,McLaren Mercedes,227,
,6,Felipe  Massa  MAS,BRA,Ferrari,118,
,7,Nico  Rosberg  ROS,GER,Mercedes,89,
,8,Michael  Schumacher  MSC,GER,Mercedes,76,
,9,Adrian  Sutil  SUT,GER,Force India Mercedes,42,
,10,Vitaly  Petrov  PET,RUS,Renault,37,
,11,Nick  Heidfeld  HEI,GER,Renault,34,
,12,Kamui  Kobayashi  KOB,JPN,Sauber Ferrari,30,
,13,Paul  di Resta  DIR,GBR,Force India Mercedes,27,
,14,Jaime  Alguersuari  ALG,ESP,STR Ferrari,26,
,15,Sebastien  Buemi  BUE,SUI,STR Ferrari,15,
,16,Sergio  Perez  PER,MEX,Sauber Ferrari,14,
,17,Rubens  Barrichello  BAR,BRA,Williams Cosworth,4,
,18,Bruno  Senna  SEN,BRA,Renault,2,
,19,Pastor  Maldonado  MAL,VEN,Williams Cosworth,1,
,20,Pedro  de la Rosa  DLR,ESP,Sauber Ferrari,0,
,21,Jarno  Trulli  TRU,ITA,Lotus Renault,0,
,22,Heikki  Kovalainen  KOV,FIN,Lotus Renault,0,
,23,Vitantonio  Liuzzi  LIU,ITA,HRT Cosworth,0,
,24,Jerome  d'Ambrosio  DAM,BEL,Virgin Cosworth,0,
,25,Timo  Glock  GLO,GER,Virgin Cosworth,0,
,26,Narain  Karthikeyan  KAR,IND,HRT Cosworth,0,
,27,Daniel  Ricciardo  RIC,AUS,HRT Cosworth,0,
,28,Karun  Chandhok  CHD,IND,Lotus Renault,0,
