Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,27 Mar 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,58,1:29:30.259,
,Malaysia,10 Apr 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,56,1:37:39.832,
,China,17 Apr 2011,Lewis  Hamilton  HAM,McLaren Mercedes,56,1:36:58.226,
,Turkey,08 May 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,58,1:30:17.558,
,Spain,22 May 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,66,1:39:03.301,
,Monaco,29 May 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,78,2:09:38.373,
,Canada,12 Jun 2011,Jenson  Button  BUT,McLaren Mercedes,70,4:04:39.537,
,Europe,26 Jun 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,57,1:39:36.169,
,Great Britain,10 Jul 2011,Fernando  Alonso  ALO,Ferrari,52,1:28:41.196,
,Germany,24 Jul 2011,Lewis  Hamilton  HAM,McLaren Mercedes,60,1:37:30.334,
,Hungary,31 Jul 2011,Jenson  Button  BUT,McLaren Mercedes,70,1:46:42.337,
,Belgium,28 Aug 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,44,1:26:44.893,
,Italy,11 Sep 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,53,1:20:46.172,
,Singapore,25 Sep 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,61,1:59:06.757,
,Japan,09 Oct 2011,Jenson  Button  BUT,McLaren Mercedes,53,1:30:53.427,
,South Korea,16 Oct 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,55,1:38:01.994,
,India,30 Oct 2011,Sebastian  Vettel  VET,Red Bull Racing Renault,60,1:30:35.002,
,Abu Dhabi,13 Nov 2011,Lewis  Hamilton  HAM,McLaren Mercedes,55,1:37:11.886,
,Brazil,27 Nov 2011,Mark  Webber  WEB,Red Bull Racing Renault,71,1:32:17.464,
