Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,McLaren TAG,143,
,2,Ferrari,57,
,3,Lotus Renault,47,
,4,Brabham BMW,38,
,5,Renault,34,
,6,Williams Honda,25,
,7,Toleman Hart,16,
,8,Alfa Romeo,11,
,9,Arrows BMW,3,
,10,Ligier Renault,3,
,11,Arrows Ford,3,
,12,Osella Alfa Romeo,2,
