Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Matra Ford,66,
,2,Brabham Ford,49,
,3,Lotus Ford,47,
,4,McLaren Ford,38,
,5,Ferrari,7,
,6,BRM,7,
