Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,James  Hunt  HUN,GBR,McLaren Ford,69,
,2,Niki  Lauda  LAU,AUT,Ferrari,68,
,3,Jody  Scheckter  SCH,RSA,Tyrrell Ford,49,
,4,Patrick  Depailler  DEP,FRA,Tyrrell Ford,39,
,5,Clay  Regazzoni  REG,SUI,Ferrari,31,
,6,Mario  Andretti  AND,USA,Lotus Ford,22,
,7,John  Watson  WAT,GBR,Penske Ford,20,
,7,Jacques  Laffite  LAF,FRA,Ligier Matra,20,
,9,Jochen  Mass  MAS,GER,McLaren Ford,19,
,10,Gunnar  Nilsson  NIL,SWE,Lotus Ford,11,
,11,Ronnie  Peterson  PET,SWE,March Ford,10,
,11,Tom  Pryce  PRY,GBR,Shadow Ford,10,
,13,Hans-Joachim  Stuck  STU,GER,March Ford,8,
,14,Carlos  Pace  PAC,BRA,Brabham Alfa Romeo,7,
,14,Alan Jones  JON,AUS,Surtees Ford,7,
,16,Carlos  Reutemann  REU,ARG,Ferrari,3,
,16,Emerson  Fittipaldi  FIT,BRA,Fittipaldi Ford,3,
,18,Chris  Amon  AMO,NZL,Wolf-Williams,2,
,19,Rolf  Stommelen  STO,GER,Brabham Alfa Romeo,1,
,19,Vittorio  Brambilla  BRA,ITA,March Ford,1,
