Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Lewis  Hamilton  HAM,GBR,Mercedes,408,
,2,Sebastian  Vettel  VET,GER,Ferrari,320,
,3,Kimi  Räikkönen  RAI,FIN,Ferrari,251,
,4,Max  Verstappen  VER,NED,Red Bull Racing TAG Heuer,249,
,5,Valtteri  Bottas  BOT,FIN,Mercedes,247,
,6,Daniel  Ricciardo  RIC,AUS,Red Bull Racing TAG Heuer,170,
,7,Nico  Hulkenberg  HUL,GER,Renault,69,
,8,Sergio  Perez  PER,MEX,Force India Mercedes,62,
,9,Kevin  Magnussen  MAG,DEN,Haas Ferrari,56,
,10,Carlos  Sainz  SAI,ESP,Renault,53,
,11,Fernando  Alonso  ALO,ESP,McLaren Renault,50,
,12,Esteban  Ocon  OCO,FRA,Force India Mercedes,49,
,13,Charles  Leclerc  LEC,MON,Sauber Ferrari,39,
,14,Romain  Grosjean  GRO,FRA,Haas Ferrari,37,
,15,Pierre  Gasly  GAS,FRA,Scuderia Toro Rosso Honda,29,
,16,Stoffel  Vandoorne  VAN,BEL,McLaren Renault,12,
,17,Marcus  Ericsson  ERI,SWE,Sauber Ferrari,9,
,18,Lance  Stroll  STR,CAN,Williams Mercedes,6,
,19,Brendon  Hartley  HAR,NZL,Scuderia Toro Rosso Honda,4,
,20,Sergey  Sirotkin  SIR,RUS,Williams Mercedes,1,
