Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,15 Mar 2015,Lewis  Hamilton  HAM,Mercedes,58,1:31:54.067,
,Malaysia,29 Mar 2015,Sebastian  Vettel  VET,Ferrari,56,1:41:05.793,
,China,12 Apr 2015,Lewis  Hamilton  HAM,Mercedes,56,1:39:42.008,
,Bahrain,19 Apr 2015,Lewis  Hamilton  HAM,Mercedes,57,1:35:05.809,
,Spain,10 May 2015,Nico  Rosberg  ROS,Mercedes,66,1:41:12.555,
,Monaco,24 May 2015,Nico  Rosberg  ROS,Mercedes,78,1:49:18.420,
,Canada,07 Jun 2015,Lewis  Hamilton  HAM,Mercedes,70,1:31:53.145,
,Austria,21 Jun 2015,Nico  Rosberg  ROS,Mercedes,71,1:30:16.930,
,Great Britain,05 Jul 2015,Lewis  Hamilton  HAM,Mercedes,52,1:31:27.729,
,Hungary,26 Jul 2015,Sebastian  Vettel  VET,Ferrari,69,1:46:09.985,
,Belgium,23 Aug 2015,Lewis  Hamilton  HAM,Mercedes,43,1:23:40.387,
,Italy,06 Sep 2015,Lewis  Hamilton  HAM,Mercedes,53,1:18:00.688,
,Singapore,20 Sep 2015,Sebastian  Vettel  VET,Ferrari,61,2:01:22.118,
,Japan,27 Sep 2015,Lewis  Hamilton  HAM,Mercedes,53,1:28:06.508,
,Russia,11 Oct 2015,Lewis  Hamilton  HAM,Mercedes,53,1:37:11.024,
,United States,25 Oct 2015,Lewis  Hamilton  HAM,Mercedes,56,1:50:52.703,
,Mexico,01 Nov 2015,Nico  Rosberg  ROS,Mercedes,71,1:42:35.038,
,Brazil,15 Nov 2015,Nico  Rosberg  ROS,Mercedes,71,1:31:09.090,
,Abu Dhabi,29 Nov 2015,Nico  Rosberg  ROS,Mercedes,55,1:38:30.175,
