Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Brazil,26 Mar 1995,Michael  Schumacher  MSC,Benetton Renault,71,1:38:34.154,
,Argentina,09 Apr 1995,Damon  Hill  HIL,Williams Renault,71,1:51:39.531,
,San Marino,30 Apr 1995,Damon  Hill  HIL,Williams Renault,63,1:41:42.552,
,Spain,14 May 1995,Michael  Schumacher  MSC,Benetton Renault,65,1:34:20.507,
,Monaco,28 May 1995,Michael  Schumacher  MSC,Benetton Renault,78,1:53:11.258,
,Canada,11 Jun 1995,Jean  Alesi  ALE,Ferrari,69,1:46:31.333,
,France,02 Jul 1995,Michael  Schumacher  MSC,Benetton Renault,72,1:38:28.429,
,Great Britain,16 Jul 1995,Johnny  Herbert  HER,Benetton Renault,61,1:34:35.093,
,Germany,30 Jul 1995,Michael  Schumacher  MSC,Benetton Renault,45,1:22:56.043,
,Hungary,13 Aug 1995,Damon  Hill  HIL,Williams Renault,77,1:46:25.721,
,Belgium,27 Aug 1995,Michael  Schumacher  MSC,Benetton Renault,44,1:36:47.875,
,Italy,10 Sep 1995,Johnny  Herbert  HER,Benetton Renault,53,1:18:27.916,
,Portugal,24 Sep 1995,David  Coulthard  COU,Williams Renault,71,1:41:52.145,
,Europe,01 Oct 1995,Michael  Schumacher  MSC,Benetton Renault,67,1:39:59.044,
,Pacific,22 Oct 1995,Michael  Schumacher  MSC,Benetton Renault,83,1:48:49.972,
,Japan,29 Oct 1995,Michael  Schumacher  MSC,Benetton Renault,53,1:36:52.930,
,Australia,12 Nov 1995,Damon  Hill  HIL,Williams Renault,81,1:49:15.946,
