Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Lotus Ford,61,
,2,Tyrrell Ford,51,
,3,McLaren Ford,47,
,4,Ferrari,33,
,5,Surtees Ford,18,
,6,March Ford,15,
,7,BRM,14,
,8,Matra,12,
,9,Brabham Ford,7,
