Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,McLaren TAG,90,
,2,Ferrari,82,
,3,Lotus Renault,71,
,4,Williams Honda,71,
,5,Brabham BMW,26,
,6,Ligier Renault,23,
,7,Renault,16,
,8,Arrows BMW,14,
,9,Tyrrell Ford,4,
,10,Tyrrell Renault,3,
