Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jim  Clark  CLA,GBR,Lotus Climax,54,
,2,Graham  Hill  HIL,GBR,BRM,29,
,2,Richie  Ginther  GIN,USA,BRM,29,
,4,John  Surtees  SUR,GBR,Ferrari,22,
,5,Dan  Gurney  GUR,USA,Brabham Climax,19,
,6,Bruce  McLaren  MCL,NZL,Cooper Climax,17,
,7,Jack  Brabham  BRA,AUS,Brabham Climax,14,
,8,Tony  Maggs  MAG,RSA,Cooper Climax,9,
,9,Innes  Ireland  IRE,GBR,BRP BRM,6,
,9,Lorenzo  Bandini  BAN,ITA,Ferrari,6,
,9,Jo  Bonnier  BON,SWE,Cooper Climax,6,
,12,Gerhard  Mitter  MIT,GER,Porsche,3,
,12,Jim Hall HAL,USA,Lotus BRM,3,
,14,Carel Godin  de Beaufort DEB,NED,Porsche,2,
,15,Trevor Taylor TAY,GBR,Lotus Climax,1,
,15,Ludovico  Scarfiotti  SCA,ITA,Ferrari,1,
,15,Jo  Siffert  SIF,SUI,Lotus BRM,1,
,18,Willy  Mairesse  MAI,BEL,Ferrari,0,
,18,Maurice Trintignant  TRI,FRA,BRM,0,
,18,Tony Settember SET,USA,Scirocco BRM,0,
,18,Lucien  Bianchi  BIA,BEL,Lola Climax,0,
,18,Phil  Hill  HIL,USA,ATS,0,
,18,Giancarlo  Baghetti  BAG,ITA,ATS,0,
,18,Chris  Amon  AMO,NZL,Lotus BRM,0,
,18,Masten  Gregory  GRE,USA,,0,
,18,Bob  Anderson  AND,GBR,Lola Climax,0,
,18,Ian  Raby  RAB,GBR,Gilby BRM,0,
,18,John Campbell-Jones CAM,GBR,Lola Climax,0,
,18,Ian  Burgess BUR,GBR,Scirocco BRM,0,
,18,Mike  Hailwood  HAI,GBR,,0,
,18,Mario de Araujo Cabral DEA,POR,Cooper Climax,0,
,18,Bernard Collomb COL,FRA,Lotus Climax,0,
,18,Mike  Spence  SPE,GBR,Lotus Climax,0,
,18,Peter  Broeker BRO,CAN,Stebro Ford,0,
,18,Rodger  Ward  WAR,USA,Lotus BRM,0,
,18,Pedro  Rodriguez  ROD,MEX,Lotus Climax,0,
,18,Hap Sharp SHA,USA,Lotus BRM,0,
,18,Moises  Solana  SOL,MEX,BRM,0,
,18,Doug  Serrurier  SER,RSA,LDS Alfa Romeo,0,
,18,Trevor  Blokdyk  BLO,RSA,Cooper Maserati,0,
,18,Brausch  Niemann  NIE,RSA,Lotus Ford,0,
,18,John  Love  LOV,RHO,Cooper Climax,0,
,18,Ernie  Pieterse  PIE,RSA,Lotus Climax,0,
,18,Peter  de Klerk  DEK,RSA,Alfa Romeo,0,
,18,Sam  Tingle  TIN,RHO,LDS Alfa Romeo,0,
,18,David  Prophet  PRO,GBR,Brabham Ford,0,
