Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,07 Mar 1999,Eddie  Irvine  IRV,Ferrari,57,1:35:01.659,
,Brazil,11 Apr 1999,Mika  Hakkinen  HAK,McLaren Mercedes,72,1:36:03.785,
,San Marino,02 May 1999,Michael  Schumacher  MSC,Ferrari,62,1:33:44.792,
,Monaco,16 May 1999,Michael  Schumacher  MSC,Ferrari,78,1:49:31.812,
,Spain,30 May 1999,Mika  Hakkinen  HAK,McLaren Mercedes,65,1:34:13.665,
,Canada,13 Jun 1999,Mika  Hakkinen  HAK,McLaren Mercedes,69,1:41:35.727,
,France,27 Jun 1999,Heinz-Harald  Frentzen  FRE,Jordan Mugen Honda,72,1:58:24.343,
,Great Britain,11 Jul 1999,David  Coulthard  COU,McLaren Mercedes,60,1:32:30.144,
,Austria,25 Jul 1999,Eddie  Irvine  IRV,Ferrari,71,1:28:12.438,
,Germany,01 Aug 1999,Eddie  Irvine  IRV,Ferrari,45,1:21:58.594,
,Hungary,15 Aug 1999,Mika  Hakkinen  HAK,McLaren Mercedes,77,1:46:23.536,
,Belgium,29 Aug 1999,David  Coulthard  COU,McLaren Mercedes,44,1:25:43.057,
,Italy,12 Sep 1999,Heinz-Harald  Frentzen  FRE,Jordan Mugen Honda,53,1:17:02.923,
,Europe,26 Sep 1999,Johnny  Herbert  HER,Stewart Ford,66,1:41:54.314,
,Malaysia,17 Oct 1999,Eddie  Irvine  IRV,Ferrari,56,1:36:38.494,
,Japan,31 Oct 1999,Mika  Hakkinen  HAK,McLaren Mercedes,53,1:31:18.785,
