Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Monaco,22 May 1966,Jackie  Stewart  STE,BRM,100,2:33:10.500,
,Belgium,12 Jun 1966,John  Surtees  SUR,Ferrari,28,2:09:11.300,
,France,03 Jul 1966,Jack  Brabham  BRA,Brabham Repco,48,1:48:31.300,
,Great Britain,16 Jul 1966,Jack  Brabham  BRA,Brabham Repco,80,2:13:13.400,
,Netherlands,24 Jul 1966,Jack  Brabham  BRA,Brabham Repco,90,2:20:32.500,
,Germany,07 Aug 1966,Jack  Brabham  BRA,Brabham Repco,15,2:27:03.000,
,Italy,04 Sep 1966,Ludovico  Scarfiotti  SCA,Ferrari,68,1:47:14.800,
,United States,02 Oct 1966,Jim  Clark  CLA,Lotus BRM,108,2:09:40.100,
,Mexico,23 Oct 1966,John  Surtees  SUR,Cooper Maserati,65,2:06:35.340,
