Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,15 Jan 1978,Mario  Andretti  AND,Lotus Ford,52,1:37:04.470,
,Brazil,29 Jan 1978,Carlos  Reutemann  REU,Ferrari,63,1:49:59.860,
,South Africa,04 Mar 1978,Ronnie  Peterson  PET,Lotus Ford,78,1:42:15.767,
,USA West,02 Apr 1978,Carlos  Reutemann  REU,Ferrari,80,1:52:01.301,
,Monaco,07 May 1978,Patrick  Depailler  DEP,Tyrrell Ford,75,1:55:14.660,
,Belgium,21 May 1978,Mario  Andretti  AND,Lotus Ford,70,1:39:52.020,
,Spain,04 Jun 1978,Mario  Andretti  AND,Lotus Ford,75,1:41:47.060,
,Sweden,17 Jun 1978,Niki  Lauda  LAU,Brabham Alfa Romeo,70,1:41:00.606,
,France,02 Jul 1978,Mario  Andretti  AND,Lotus Ford,54,1:38:51.920,
,Great Britain,16 Jul 1978,Carlos  Reutemann  REU,Ferrari,76,1:42:12.390,
,Germany,30 Jul 1978,Mario  Andretti  AND,Lotus Ford,45,1:28:00.900,
,Austria,13 Aug 1978,Ronnie  Peterson  PET,Lotus Ford,54,1:41:21.570,
,Netherlands,27 Aug 1978,Mario  Andretti  AND,Lotus Ford,75,1:41:04.230,
,Italy,10 Sep 1978,Niki  Lauda  LAU,Brabham Alfa Romeo,40,1:07:04.540,
,USA East,01 Oct 1978,Carlos  Reutemann  REU,Ferrari,59,1:40:48.800,
,Canada,08 Oct 1978,Gilles  Villeneuve  VIL,Ferrari,70,1:57:49.196,
