Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Graham  Hill  HIL,GBR,BRM,42,
,2,Jim  Clark  CLA,GBR,Lotus Climax,30,
,3,Bruce  McLaren  MCL,NZL,Cooper Climax,27,
,4,John  Surtees  SUR,GBR,Lola Climax,19,
,5,Dan  Gurney  GUR,USA,Porsche,15,
,6,Phil  Hill  HIL,USA,Ferrari,14,
,7,Tony  Maggs  MAG,RSA,Cooper Climax,13,
,8,Richie  Ginther  GIN,USA,BRM,10,
,9,Jack  Brabham  BRA,AUS,Brabham Climax,9,
,10,Trevor Taylor TAY,GBR,Lotus Climax,6,
,11,Giancarlo  Baghetti  BAG,ITA,Ferrari,5,
,12,Lorenzo  Bandini  BAN,ITA,Ferrari,4,
,12,Ricardo Rodriguez ROD,MEX,Ferrari,4,
,14,Willy  Mairesse  MAI,BEL,Ferrari,3,
,14,Jo  Bonnier  BON,SWE,Porsche,3,
,16,Innes  Ireland  IRE,GBR,Lotus Climax,2,
,16,Carel Godin  de Beaufort DEB,NED,Porsche,2,
,18,Masten  Gregory  GRE,USA,Lotus BRM,1,
,18,Neville  Lederle  LED,RSA,Lotus Climax,1,
