Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,13 Jan 1974,Denny  Hulme  HUL,McLaren Ford,53,1:41:02.010,
,Brazil,27 Jan 1974,Emerson  Fittipaldi  FIT,McLaren Ford,32,1:24:37.060,
,South Africa,30 Mar 1974,Carlos  Reutemann  REU,Brabham Ford,78,1:42:40.960,
,Spain,28 Apr 1974,Niki  Lauda  LAU,Ferrari,84,2:00:29.560,
,Belgium,12 May 1974,Emerson  Fittipaldi  FIT,McLaren Ford,85,1:44:20.570,
,Monaco,26 May 1974,Ronnie  Peterson  PET,Lotus Ford,78,1:58:03.700,
,Sweden,09 Jun 1974,Jody  Scheckter  SCH,Tyrrell Ford,80,1:58:31.391,
,Netherlands,23 Jun 1974,Niki  Lauda  LAU,Ferrari,75,1:43:00.350,
,France,07 Jul 1974,Ronnie  Peterson  PET,Lotus Ford,80,1:21:55.020,
,Great Britain,20 Jul 1974,Jody  Scheckter  SCH,Tyrrell Ford,75,1:43:02.200,
,Germany,04 Aug 1974,Clay  Regazzoni  REG,Ferrari,14,1:41:35.000,
,Austria,18 Aug 1974,Carlos  Reutemann  REU,Brabham Ford,54,1:28:44.720,
,Italy,08 Sep 1974,Ronnie  Peterson  PET,Lotus Ford,52,1:22:56.600,
,Canada,22 Sep 1974,Emerson  Fittipaldi  FIT,McLaren Ford,80,1:40:26.136,
,United States,06 Oct 1974,Carlos  Reutemann  REU,Brabham Ford,59,1:40:21.439,
