Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,09 Mar 1997,David  Coulthard  COU,McLaren Mercedes,58,1:30:28.718,
,Brazil,30 Mar 1997,Jacques  Villeneuve  VIL,Williams Renault,72,1:36:06.990,
,Argentina,13 Apr 1997,Jacques  Villeneuve  VIL,Williams Renault,72,1:52:01.715,
,San Marino,27 Apr 1997,Heinz-Harald  Frentzen  FRE,Williams Renault,62,1:31:00.673,
,Monaco,11 May 1997,Michael  Schumacher  MSC,Ferrari,62,2:00:05.654,
,Spain,25 May 1997,Jacques  Villeneuve  VIL,Williams Renault,64,1:30:35.896,
,Canada,15 Jun 1997,Michael  Schumacher  MSC,Ferrari,54,1:17:40.646,
,France,29 Jun 1997,Michael  Schumacher  MSC,Ferrari,72,1:38:50.492,
,Great Britain,13 Jul 1997,Jacques  Villeneuve  VIL,Williams Renault,59,1:28:01.665,
,Germany,27 Jul 1997,Gerhard  Berger  BER,Benetton Renault,45,1:20:59.046,
,Hungary,10 Aug 1997,Jacques  Villeneuve  VIL,Williams Renault,77,1:45:47.149,
,Belgium,24 Aug 1997,Michael  Schumacher  MSC,Ferrari,44,1:33:46.717,
,Italy,07 Sep 1997,David  Coulthard  COU,McLaren Mercedes,53,1:17:04.609,
,Austria,21 Sep 1997,Jacques  Villeneuve  VIL,Williams Renault,71,1:27:35.999,
,Luxembourg,28 Sep 1997,Jacques  Villeneuve  VIL,Williams Renault,67,1:31:27.843,
,Japan,12 Oct 1997,Michael  Schumacher  MSC,Ferrari,53,1:29:48.446,
,Europe,26 Oct 1997,Mika  Hakkinen  HAK,McLaren Mercedes,69,1:38:57.771,
