Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Lotus Climax,54,
,2,BRM,36,
,3,Brabham Climax,28,
,4,Ferrari,26,
,5,Cooper Climax,25,
,6,BRP BRM,6,
,7,Porsche,5,
,8,Lotus BRM,4,
