Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,28 Jan 1973,Emerson  Fittipaldi  FIT,Lotus Ford,96,1:56:18.220,
,Brazil,11 Feb 1973,Emerson  Fittipaldi  FIT,Lotus Ford,40,1:43:55.600,
,South Africa,03 Mar 1973,Jackie  Stewart  STE,Tyrrell Ford,79,1:43:11.070,
,Spain,29 Apr 1973,Emerson  Fittipaldi  FIT,Lotus Ford,75,1:48:18.700,
,Belgium,20 May 1973,Jackie  Stewart  STE,Tyrrell Ford,70,1:42:13.430,
,Monaco,03 Jun 1973,Jackie  Stewart  STE,Tyrrell Ford,78,1:57:44.300,
,Sweden,17 Jun 1973,Denny  Hulme  HUL,McLaren Ford,80,1:56:46.049,
,France,01 Jul 1973,Ronnie  Peterson  PET,Lotus Ford,54,1:41:36.520,
,Great Britain,14 Jul 1973,Peter Revson  REV,McLaren Ford,67,1:29:18.500,
,Netherlands,29 Jul 1973,Jackie  Stewart  STE,Tyrrell Ford,72,1:39:12.450,
,Germany,05 Aug 1973,Jackie  Stewart  STE,Tyrrell Ford,14,1:42:03.000,
,Austria,19 Aug 1973,Ronnie  Peterson  PET,Lotus Ford,54,1:28:48.780,
,Italy,09 Sep 1973,Ronnie  Peterson  PET,Lotus Ford,55,1:29:17.000,
,Canada,23 Sep 1973,Peter Revson  REV,McLaren Ford,80,1:59:04.083,
,United States,07 Oct 1973,Ronnie  Peterson  PET,Lotus Ford,59,1:41:15.799,
