Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Sebastian  Vettel  VET,GER,Red Bull Racing Renault,281,
,2,Fernando  Alonso  ALO,ESP,Ferrari,278,
,3,Kimi  Räikkönen  RAI,FIN,Lotus Renault,207,
,4,Lewis  Hamilton  HAM,GBR,McLaren Mercedes,190,
,5,Jenson  Button  BUT,GBR,McLaren Mercedes,188,
,6,Mark  Webber  WEB,AUS,Red Bull Racing Renault,179,
,7,Felipe  Massa  MAS,BRA,Ferrari,122,
,8,Romain  Grosjean  GRO,FRA,Lotus Renault,96,
,9,Nico  Rosberg  ROS,GER,Mercedes,93,
,10,Sergio  Perez  PER,MEX,Sauber Ferrari,66,
,11,Nico  Hulkenberg  HUL,GER,Force India Mercedes,63,
,12,Kamui  Kobayashi  KOB,JPN,Sauber Ferrari,60,
,13,Michael  Schumacher  MSC,GER,Mercedes,49,
,14,Paul  di Resta  DIR,GBR,Force India Mercedes,46,
,15,Pastor  Maldonado  MAL,VEN,Williams Renault,45,
,16,Bruno  Senna  SEN,BRA,Williams Renault,31,
,17,Jean-Eric  Vergne  VER,FRA,STR Ferrari,16,
,18,Daniel  Ricciardo  RIC,AUS,STR Ferrari,10,
,19,Vitaly  Petrov  PET,RUS,Caterham Renault,0,
,20,Timo  Glock  GLO,GER,Marussia Cosworth,0,
,21,Charles  Pic  PIC,FRA,Marussia Cosworth,0,
,22,Heikki  Kovalainen  KOV,FIN,Caterham Renault,0,
,23,Jerome  d'Ambrosio  DAM,BEL,Lotus Renault,0,
,24,Narain  Karthikeyan  KAR,IND,HRT Cosworth,0,
,25,Pedro  de la Rosa  DLR,ESP,HRT Cosworth,0,
