Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Mika  Hakkinen  HAK,FIN,McLaren Mercedes,100,
,2,Michael  Schumacher  MSC,GER,Ferrari,86,
,3,David  Coulthard  COU,GBR,McLaren Mercedes,56,
,4,Eddie  Irvine  IRV,GBR,Ferrari,47,
,5,Jacques  Villeneuve  VIL,CAN,Williams Mecachrome,21,
,6,Damon  Hill  HIL,GBR,Jordan Mugen Honda,20,
,7,Heinz-Harald  Frentzen  FRE,GER,Williams Mecachrome,17,
,8,Alexander  Wurz  WUR,AUT,Benetton Playlife,17,
,9,Giancarlo  Fisichella  FIS,ITA,Benetton Playlife,16,
,10,Ralf  Schumacher  RSC,GER,Jordan Mugen Honda,14,
,11,Jean  Alesi  ALE,FRA,Sauber Petronas,9,
,12,Rubens  Barrichello  BAR,BRA,Stewart Ford,4,
,13,Mika  Salo  SAL,FIN,Arrows,3,
,14,Pedro  Diniz  DIN,BRA,Arrows,3,
,15,Johnny  Herbert  HER,GBR,Sauber Petronas,1,
,16,Jan  Magnussen  MAG,DEN,Stewart Ford,1,
,17,Jarno  Trulli  TRU,ITA,Prost Peugeot,1,
,18,Ricardo  Rosset  ROS,BRA,Tyrrell Ford,0,
,19,Olivier  Panis  PAN,FRA,Prost Peugeot,0,
,20,Toranosuke  Takagi  TAK,JPN,Tyrrell Ford,0,
,21,Shinji  Nakano  NAK,JPN,Minardi Ford,0,
,22,Esteban  Tuero  TUE,ARG,Minardi Ford,0,
,23,Jos  Verstappen  VER,NED,Stewart Ford,0,
