Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Lotus Climax,54,
,2,BRM,45,
,3,Brabham Climax,27,
,4,Ferrari,26,
,5,Cooper Climax,14,
,6,Honda,11,
,7,Brabham BRM,5,
,8,Lotus BRM,2,
