Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Alain  Prost  PRO,FRA,Williams Renault,99,
,2,Ayrton  Senna  SEN,BRA,McLaren Ford,73,
,3,Damon  Hill  HIL,GBR,Williams Renault,69,
,4,Michael  Schumacher  MSC,GER,Benetton Ford,52,
,5,Riccardo  Patrese  PAT,ITA,Benetton Ford,20,
,6,Jean  Alesi  ALE,FRA,Ferrari,16,
,7,Martin  Brundle  BRU,GBR,Ligier Renault,13,
,8,Gerhard  Berger  BER,AUT,Ferrari,12,
,9,Johnny  Herbert  HER,GBR,Lotus Ford,11,
,10,Mark  Blundell  BLU,GBR,Ligier Renault,10,
,11,Michael  Andretti  AND,USA,McLaren Ford,7,
,12,Karl  Wendlinger  WEN,AUT,Sauber,7,
,13,Christian  Fittipaldi  FIT,BRA,Minardi Ford,5,
,13,Jyrki  Jarvilehto  JAR,FIN,Sauber,5,
,15,Mika  Hakkinen  HAK,FIN,McLaren Ford,4,
,16,Derek  Warwick  WAR,GBR,Footwork Mugen Honda,4,
,17,Philippe  Alliot  ALL,FRA,Larrousse Lamborghini,2,
,17,Rubens  Barrichello  BAR,BRA,Jordan Hart,2,
,19,Fabrizio  Barbazza  BAR,ITA,Minardi Ford,2,
,20,Alessandro  Zanardi  ZAN,ITA,Lotus Ford,1,
,20,Erik  Comas  COM,FRA,Larrousse Lamborghini,1,
,20,Eddie  Irvine  IRV,GBR,Jordan Hart,1,
