Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Sebastian  Vettel  VET,GER,Red Bull Racing Renault,397,
,2,Fernando  Alonso  ALO,ESP,Ferrari,242,
,3,Mark  Webber  WEB,AUS,Red Bull Racing Renault,199,
,4,Lewis  Hamilton  HAM,GBR,Mercedes,189,
,5,Kimi  Räikkönen  RAI,FIN,Lotus Renault,183,
,6,Nico  Rosberg  ROS,GER,Mercedes,171,
,7,Romain  Grosjean  GRO,FRA,Lotus Renault,132,
,8,Felipe  Massa  MAS,BRA,Ferrari,112,
,9,Jenson  Button  BUT,GBR,McLaren Mercedes,73,
,10,Nico  Hulkenberg  HUL,GER,Sauber Ferrari,51,
,11,Sergio  Perez  PER,MEX,McLaren Mercedes,49,
,12,Paul  di Resta  DIR,GBR,Force India Mercedes,48,
,13,Adrian  Sutil  SUT,GER,Force India Mercedes,29,
,14,Daniel  Ricciardo  RIC,AUS,STR Ferrari,20,
,15,Jean-Eric  Vergne  VER,FRA,STR Ferrari,13,
,16,Esteban  Gutierrez GUT,MEX,Sauber Ferrari,6,
,17,Valtteri Bottas  BOT,FIN,Williams Renault,4,
,18,Pastor  Maldonado  MAL,VEN,Williams Renault,1,
,19,Jules  Bianchi  BIA,FRA,Marussia Cosworth,0,
,20,Charles  Pic  PIC,FRA,Caterham Renault,0,
,21,Heikki  Kovalainen  KOV,FIN,Lotus Renault,0,
,22,Giedo  van der Garde  VDG,NED,Caterham Renault,0,
,23,Max  Chilton  CHI,GBR,Marussia Cosworth,0,
