Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,McLaren Ford,73,
,2,Ferrari,65,
,3,Tyrrell Ford,52,
,4,Lotus Ford,42,
,5,Brabham Ford,35,
,6,Hesketh Ford,15,
,7,BRM,10,
,8,Shadow Ford,7,
,9,March Ford,6,
,10,Iso Marlboro Ford,4,
,11,Surtees Ford,3,
,12,Lola Ford,1,
