Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Ayrton  Senna  SEN,BRA,McLaren Honda,78,
,2,Alain  Prost  PRO,FRA,Ferrari,71,
,3,Nelson  Piquet  PIQ,BRA,Benetton Ford,43,
,3,Gerhard  Berger  BER,AUT,McLaren Honda,43,
,5,Nigel  Mansell  MAN,GBR,Ferrari,37,
,6,Thierry  Boutsen  BOU,BEL,Williams Renault,34,
,7,Riccardo  Patrese  PAT,ITA,Williams Renault,23,
,8,Alessandro  Nannini  NAN,ITA,Benetton Ford,21,
,9,Jean  Alesi  ALE,FRA,Tyrrell Ford,13,
,10,Ivan  Capelli  CAP,ITA,Leyton House Judd,6,
,10,Roberto  Moreno  MOR,BRA,Benetton Ford,6,
,12,Aguri  Suzuki  SUZ,JPN,Lola Lamborghini,6,
,13,Eric  Bernard  BER,FRA,Lola Lamborghini,5,
,14,Derek  Warwick  WAR,GBR,Lotus Lamborghini,3,
,15,Satoru  Nakajima  NAK,JPN,Tyrrell Ford,3,
,16,Alex  Caffi  CAF,ITA,Arrows Ford,2,
,16,Stefano  Modena  MOD,ITA,Brabham Judd,2,
,18,Mauricio  Gugelmin  GUG,BRA,Leyton House Judd,1,
