Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,16 Mar 2008,Lewis  Hamilton  HAM,McLaren Mercedes,58,1:34:50.616,
,Malaysia,23 Mar 2008,Kimi  Räikkönen  RAI,Ferrari,56,1:31:18.555,
,Bahrain,06 Apr 2008,Felipe  Massa  MAS,Ferrari,57,1:31:06.970,
,Spain,27 Apr 2008,Kimi  Räikkönen  RAI,Ferrari,66,1:38:19.051,
,Turkey,11 May 2008,Felipe  Massa  MAS,Ferrari,58,1:26:49.451,
,Monaco,25 May 2008,Lewis  Hamilton  HAM,McLaren Mercedes,76,2:00:42.742,
,Canada,08 Jun 2008,Robert  Kubica  KUB,Sauber BMW,70,1:36:24.447,
,France,22 Jun 2008,Felipe  Massa  MAS,Ferrari,70,1:31:50.245,
,Great Britain,06 Jul 2008,Lewis  Hamilton  HAM,McLaren Mercedes,60,1:39:09.440,
,Germany,20 Jul 2008,Lewis  Hamilton  HAM,McLaren Mercedes,67,1:31:20.874,
,Hungary,03 Aug 2008,Heikki  Kovalainen  KOV,McLaren Mercedes,70,1:37:27.067,
,Europe,24 Aug 2008,Felipe  Massa  MAS,Ferrari,57,1:35:32.339,
,Belgium,07 Sep 2008,Felipe  Massa  MAS,Ferrari,44,1:22:59.394,
,Italy,14 Sep 2008,Sebastian  Vettel  VET,STR Ferrari,53,1:26:47.494,
,Singapore,28 Sep 2008,Fernando  Alonso  ALO,Renault,61,1:57:16.304,
,Japan,12 Oct 2008,Fernando  Alonso  ALO,Renault,67,1:30:21.892,
,China,19 Oct 2008,Lewis  Hamilton  HAM,McLaren Mercedes,56,1:31:57.403,
,Brazil,02 Nov 2008,Felipe  Massa  MAS,Ferrari,71,1:34:11.435,
