Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Michael  Schumacher  MSC,GER,Ferrari,108,
,2,Mika  Hakkinen  HAK,FIN,McLaren Mercedes,89,
,3,David  Coulthard  COU,GBR,McLaren Mercedes,73,
,4,Rubens  Barrichello  BAR,BRA,Ferrari,62,
,5,Ralf  Schumacher  RSC,GER,Williams BMW,24,
,6,Giancarlo  Fisichella  FIS,ITA,Benetton Playlife,18,
,7,Jacques  Villeneuve  VIL,CAN,BAR Honda,17,
,8,Jenson  Button  BUT,GBR,Williams BMW,12,
,9,Heinz-Harald  Frentzen  FRE,GER,Jordan Mugen Honda,11,
,10,Jarno  Trulli  TRU,ITA,Jordan Mugen Honda,6,
,11,Mika  Salo  SAL,FIN,Sauber Petronas,6,
,12,Jos  Verstappen  VER,NED,Arrows Supertec,5,
,13,Eddie  Irvine  IRV,GBR,Jaguar Cosworth,4,
,14,Ricardo  Zonta  ZON,BRA,BAR Honda,3,
,15,Alexander  Wurz  WUR,AUT,Benetton Playlife,2,
,16,Pedro  de la Rosa  DLR,ESP,Arrows Supertec,2,
,17,Pedro  Diniz  DIN,BRA,Sauber Petronas,0,
,18,Johnny  Herbert  HER,GBR,Jaguar Cosworth,0,
,19,Marc  Gene  GEN,ESP,Minardi Fondmetal,0,
,20,Gaston  Mazzacane  MAZ,ARG,Minardi Fondmetal,0,
,21,Nick  Heidfeld  HEI,GER,Prost Peugeot,0,
,22,Jean  Alesi  ALE,FRA,Prost Peugeot,0,
,23,Luciano  Burti  BUR,BRA,Jaguar Cosworth,0,
