Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Nico  Rosberg  ROS,GER,Mercedes,385,
,2,Lewis  Hamilton  HAM,GBR,Mercedes,380,
,3,Daniel  Ricciardo  RIC,AUS,Red Bull Racing TAG Heuer,256,
,4,Sebastian  Vettel  VET,GER,Ferrari,212,
,5,Max  Verstappen  VES,NED,Red Bull Racing TAG Heuer,204,
,6,Kimi  Räikkönen  RAI,FIN,Ferrari,186,
,7,Sergio  Perez  PER,MEX,Force India Mercedes,101,
,8,Valtteri Bottas  BOT,FIN,Williams Mercedes,85,
,9,Nico  Hulkenberg  HUL,GER,Force India Mercedes,72,
,10,Fernando  Alonso  ALO,ESP,McLaren Honda,54,
,11,Felipe  Massa  MAS,BRA,Williams Mercedes,53,
,12,Carlos  Sainz  SAI,ESP,Toro Rosso Ferrari,46,
,13,Romain  Grosjean  GRO,FRA,Haas Ferrari,29,
,14,Daniil  Kvyat  KVY,RUS,Toro Rosso Ferrari,25,
,15,Jenson  Button  BUT,GBR,McLaren Honda,21,
,16,Kevin  Magnussen  MAG,DEN,Renault,7,
,17,Felipe  Nasr  NAS,BRA,Sauber Ferrari,2,
,18,Jolyon  Palmer  PAL,GBR,Renault,1,
,19,Pascal  Wehrlein  WEH,GER,MRT Mercedes,1,
,20,Stoffel  Vandoorne  VAN,BEL,McLaren Honda,1,
,21,Esteban  Gutierrez GUT,MEX,Haas Ferrari,0,
,22,Marcus  Ericsson  ERI,SWE,Sauber Ferrari,0,
,23,Esteban  Ocon  OCO,FRA,MRT Mercedes,0,
,24,Rio  Haryanto  HAR,INA,MRT Mercedes,0,
