Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Monaco,26 May 1963,Graham  Hill  HIL,BRM,100,2:41:49.700,
,Belgium,09 Jun 1963,Jim  Clark  CLA,Lotus Climax,32,2:27:47.600,
,Netherlands,23 Jun 1963,Jim  Clark  CLA,Lotus Climax,80,2:08:13.700,
,France,30 Jun 1963,Jim  Clark  CLA,Lotus Climax,53,2:10:54.300,
,Great Britain,20 Jul 1963,Jim  Clark  CLA,Lotus Climax,82,2:14:09.600,
,Germany,04 Aug 1963,John  Surtees  SUR,Ferrari,15,2:13:06.800,
,Italy,08 Sep 1963,Jim  Clark  CLA,Lotus Climax,86,2:24:19.600,
,United States,06 Oct 1963,Graham  Hill  HIL,BRM,110,2:19:22.100,
,Mexico,27 Oct 1963,Jim  Clark  CLA,Lotus Climax,65,2:09:52.100,
,South Africa,28 Dec 1963,Jim  Clark  CLA,Lotus Climax,85,2:10:36.900,
