Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jack  Brabham  BRA,AUS,Cooper Climax,43,
,2,Bruce  McLaren  MCL,NZL,Cooper Climax,34,
,3,Stirling  Moss  MOS,GBR,Lotus Climax,19,
,4,Innes  Ireland  IRE,GBR,Lotus Climax,18,
,5,Phil  Hill  HIL,USA,Cooper Climax,16,
,6,Olivier Gendebien  GEN,BEL,Cooper Climax,10,
,6,Wolfgang  von Trips  VON,GER,Cooper Maserati,10,
,8,Jim  Rathmann  RAT,USA,Watson Offenhauser,8,
,8,Richie  Ginther  GIN,USA,Ferrari,8,
,8,Jim  Clark  CLA,GBR,Lotus Climax,8,
,11,Tony  Brooks  BRO,GBR,Cooper Climax,7,
,12,Cliff  Allison  ALL,GBR,Ferrari,6,
,12,Rodger  Ward  WAR,USA,Watson Offenhauser,6,
,12,John  Surtees  SUR,GBR,Lotus Climax,6,
,15,Paul  Goldsmith  GOL,USA,Epperly Offenhauser,4,
,15,Graham  Hill  HIL,GBR,BRM,4,
,15,Willy  Mairesse  MAI,BEL,Ferrari,4,
,15,Jo  Bonnier  BON,SWE,BRM,4,
,19,Carlos  Menditeguy  MEN,ARG,Cooper Maserati,3,
,19,Don Branson  BRA,USA,Phillips Offenhauser,3,
,19,Henry  Taylor  TAY,GBR,Cooper Climax,3,
,19,Giulio  Cabianca  CAB,ITA,Cooper Castellotti,3,
,23,Johnny  Thomson  THO,USA,Lesovsky Offenhauser,2,
,24,Eddie  Johnson  JOH,USA,Trevis Offenhauser,1,
,24,Lucien  Bianchi  BIA,BEL,Cooper Climax,1,
,24,Ron  Flockhart  FLO,GBR,Cooper Climax,1,
,24,Hans Herrmann  HER,GER,Porsche,1,
