Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Lewis  Hamilton  HAM,GBR,Mercedes,413,
,2,Valtteri  Bottas  BOT,FIN,Mercedes,326,
,3,Max  Verstappen  VER,NED,Red Bull Racing Honda,278,
,4,Charles  Leclerc  LEC,MON,Ferrari,264,
,5,Sebastian  Vettel  VET,GER,Ferrari,240,
,6,Carlos  Sainz  SAI,ESP,McLaren Renault,96,
,7,Pierre  Gasly  GAS,FRA,Scuderia Toro Rosso Honda,95,
,8,Alexander  Albon  ALB,THA,Red Bull Racing Honda,92,
,9,Daniel  Ricciardo  RIC,AUS,Renault,54,
,10,Sergio  Perez  PER,MEX,Racing Point BWT Mercedes,52,
,11,Lando  Norris  NOR,GBR,McLaren Renault,49,
,12,Kimi  Räikkönen  RAI,FIN,Alfa Romeo Racing Ferrari,43,
,13,Daniil  Kvyat  KVY,RUS,Scuderia Toro Rosso Honda,37,
,14,Nico  Hulkenberg  HUL,GER,Renault,37,
,15,Lance  Stroll  STR,CAN,Racing Point BWT Mercedes,21,
,16,Kevin  Magnussen  MAG,DEN,Haas Ferrari,20,
,17,Antonio  Giovinazzi  GIO,ITA,Alfa Romeo Racing Ferrari,14,
,18,Romain  Grosjean  GRO,FRA,Haas Ferrari,8,
,19,Robert  Kubica  KUB,POL,Williams Mercedes,1,
,20,George  Russell  RUS,GBR,Williams Mercedes,0,
