Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jody  Scheckter  SCH,RSA,Ferrari,51,
,2,Gilles  Villeneuve  VIL,CAN,Ferrari,47,
,3,Alan Jones  JON,AUS,Williams Ford,40,
,4,Jacques  Laffite  LAF,FRA,Ligier Ford,36,
,5,Clay  Regazzoni  REG,SUI,Williams Ford,29,
,6,Patrick  Depailler  DEP,FRA,Ligier Ford,20,
,6,Carlos  Reutemann  REU,ARG,Lotus Ford,20,
,8,Rene  Arnoux  ARN,FRA,Renault,17,
,9,John  Watson  WAT,GBR,McLaren Ford,15,
,10,Didier  Pironi  PIR,FRA,Tyrrell Ford,14,
,10,Jean-Pierre  Jarier  JAR,FRA,Tyrrell Ford,14,
,10,Mario  Andretti  AND,USA,Lotus Ford,14,
,13,Jean-Pierre  Jabouille  JAB,FRA,Renault,9,
,14,Niki  Lauda  LAU,AUT,Brabham Ford,4,
,15,Nelson  Piquet  PIQ,BRA,Brabham Ford,3,
,15,Elio  de Angelis  DEA,ITA,Shadow Ford,3,
,15,Jacky  Ickx  ICK,BEL,Ligier Ford,3,
,15,Jochen  Mass  MAS,GER,Arrows Ford,3,
,19,Riccardo  Patrese  PAT,ITA,Arrows Ford,2,
,19,Hans-Joachim  Stuck  STU,GER,ATS Ford,2,
,21,Emerson  Fittipaldi  FIT,BRA,Fittipaldi Ford,1,
