Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Lotus Ford,62,
,2,McLaren Ford,49,
,3,Matra Ford,45,
,4,Ferrari,32,
,5,BRM,28,
,6,Honda,14,
,7,Cooper BRM,14,
,8,Brabham Repco,10,
,9,Matra,8,
,10,Mclaren BRM,3,
