Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,United States,Jean  Alesi  ALE,Ferrari,1:26.758,
,Brazil,Nigel  Mansell  MAN,Williams Renault,1:20.436,
,San Marino,Gerhard  Berger  BER,McLaren Honda,1:26.531,
,Monaco,Alain  Prost  PRO,Ferrari,1:24.368,
,Canada,Nigel  Mansell  MAN,Williams Renault,1:22.385,
,Mexico,Nigel  Mansell  MAN,Williams Renault,1:16.788,
,France,Nigel  Mansell  MAN,Williams Renault,1:19.168,
,Great Britain,Nigel  Mansell  MAN,Williams Renault,1:26.379,
,Germany,Riccardo  Patrese  PAT,Williams Renault,1:43.569,
,Hungary,Bertrand  Gachot  GAC,Jordan Ford,1:21.547,
,Belgium,Roberto  Moreno  MOR,Benetton Ford,1:55.161,
,Italy,Ayrton  Senna  SEN,McLaren Honda,1:26.061,
,Portugal,Nigel  Mansell  MAN,Williams Renault,1:18.179,
,Spain,Riccardo  Patrese  PAT,Williams Renault,1:22.837,
,Japan,Ayrton  Senna  SEN,McLaren Honda,1:41.532,
,Australia,Gerhard  Berger  BER,McLaren Honda,1:41.141,
